id,latitude,longitude,reason
5791,46.60001,14.584587,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5822,-1.641716,-81.146049,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
5826,6.4842,80.49,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6002,36.439634,25.358977,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6003,36.399576,25.382516,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6056,30.751278,-15.46875,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6063,12.303819,-69.150524,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6064,12.291533,-69.155674,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6113,36.470890265279536,-4.984917640686035,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6290,47.369708239095345,8.393348702229561,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6639,48.985808,2.10206,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6641,48.74367373967938,2.2866730783243843,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6753,9.42156,-122.22286,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6868,47.56798450155298,-123.01310062408449,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6890,-25.67713428636597,27.75808453559876,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6905,-42.76874269788018,-65.03065008748597,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6906,-40.814112917300704,-65.09087634112804,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
6987,-43.005525871322256,147.3251581192017,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7001,51.38717657398729,8.664813997456806,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7013,12.176516146519193,-68.29183638095857,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7193,40.759733370420065,13.861141204833986,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7194,40.70758220192242,13.85354518890381,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7196,-0.6100639864138906,73.15537547750866,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7197,-21.13880072207686,148.63889694126559,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7206,44.37429998975115,8.700056076049806,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7252,-33.99104899358429,151.2315756082535,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7351,45.87716973707329,10.856611132621767,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7373,45.22237492316781,13.586440086364748,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7391,45.22757385423766,13.581547737121584,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7399,45.220311843465154,13.581086397171022,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7412,19.286841079965555,-81.39139652252199,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
7443,20.65654865432745,-156.44316673278811,MAP_ID_NOT_PRESENT_IN_PADI_SITE_LIST
