id,title,latitude,longitude,coordinate_source
478,Bear Cove,44.538764106483676,-63.54357004165649,PADI_MAP_API
479,Ferguson's Cove,44.60309167666355,-63.55717957019806,PADI_MAP_API
480,Black Rock Beach,44.62457947695297,-63.56416940689087,PADI_MAP_API
481,Stetson Bank NMS,28.1667,-94.3,PADI_MAP_API
482,Africville Ramp Dive Site,44.67586294266216,-63.615560531616204,PADI_MAP_API
483,MacDonald Bridge,44.666054738193935,-63.583019971847534,PADI_MAP_API
484,Smugglers Cove,44.171339114583326,-66.18185520172118,PADI_MAP_API
485,Boutiliers Point,44.656969891482376,-63.94664168357849,PADI_MAP_API
486,Arrow,45.44664375276733,-61.11145019531249,PADI_MAP_API
487,Baleine,45.48228066163947,-61.2103271484375,PADI_MAP_API
488,Grand Narrows,45.95887714138538,-60.79664468765259,PADI_MAP_API
496,Polhena Reef,5.93608823831072,80.52622318267822,PADI_MAP_API
497,Rock Wall,5.9228,80.47834,PADI_MAP_API
499,Dondra Point,5.91219,80.58963,PADI_MAP_API
500,Umbria Wreck,19.643412059325556,37.3040771484375,PADI_MAP_API
501,Sanganeb Reef,19.739561404984595,37.44003295898437,PADI_MAP_API
505,Indian Point,44.633543423280216,-63.93540859222412,PADI_MAP_API
506,Portugese Cove,44.52025480187854,-63.532036542892456,PADI_MAP_API
507,Herring Cove,44.56963554457819,-63.55687379837036,PADI_MAP_API
528,Cynthiana,34.76192255039478,32.400054931640625,PADI_MAP_API
531,Colosseum,-23.450648316816462,35.67535400390625,PADI_MAP_API
533,Banners,-23.51236709734913,35.66093444824219,PADI_MAP_API
534,West Wales - Skomer Island,51.736384102036176,-5.266571044921875,PADI_MAP_API
537,The Office,-23.53755013111107,35.654754638671875,PADI_MAP_API
539,Reggies,-23.55643424320944,35.649261474609375,PADI_MAP_API
541,Melanda Beach,34.65128519895413,32.750244140625,PADI_MAP_API
542,EN1,-23.60929531766475,35.47828674316406,PADI_MAP_API
543,Lighthouse,-23.77749052119731,35.54180145263672,PADI_MAP_API
547,Constandis Wreck,34.63094797335811,33.14025878906249,PADI_MAP_API
548,Limassol Wrecks Reefs,34.642247047768535,33.105926513671875,PADI_MAP_API
552,Alexandria Wreck,34.918592949176926,33.71704101562499,PADI_MAP_API
558,Simons Town,-23.89337152586044,35.548152923583984,PADI_MAP_API
559,Marble Arch,-23.902788191253986,35.54351806640625,PADI_MAP_API
561,Praia Da Rocha,-23.926640673501304,35.53133010864258,PADI_MAP_API
562,Krakatoa,-23.930524131136025,35.530128479003906,PADI_MAP_API
563,Robs Bottom,-23.95394008097932,35.53253173828125,PADI_MAP_API
565,Hogwarts,-23.997073913200502,35.51931381225586,PADI_MAP_API
569,Daniel Stienman,44.438927833660216,-63.553504943847656,PADI_MAP_API
570,Kolkhosnik/Russian,44.42054008115568,-63.577880859375,PADI_MAP_API
